co7685 do3100 hu6260 mo10143 ra1022 
co3585 do11842 hu11611 mo9117 ra1814 
co110 do10209 hu8149 mo2438 ra6210 
co7847 do5474 hu374 mo1914 ra3042 
co6090 do8677 hu8685 mo2166 ra5836 
co2213 do12258 hu8349 mo12738 ra12019 
co1486 do10841 hu6391 mo9517 ra9473 
co1149 do2526 hu2264 mo3233 ra2021 
co8065 do9554 hu11702 mo7853 ra11798 
co10656 do10149 hu6489 mo10725 ra455 
co9653 do3872 hu11418 mo10672 ra2336 
co4711 do2645 hu7478 mo5316 ra6697 
co6767 do8273 hu837 mo12012 ra8538 
co4380 do6662 hu2334 mo7351 ra4518 
co4238 do3210 hu8634 mo9477 ra3748 
co5195 do8106 hu9795 mo9281 ra3214 
co5530 do3691 hu222 mo10393 ra2730 
co13049 do7436 hu9205 mo14356 ra9584 
co5984 do10782 hu7243 mo7610 ra4085 
co6038 do4381 hu9607 mo4639 ra2016 
co4641 do763 hu1672 mo197 ra5491 
co1111 do60 hu196 mo1261 ra4374 
co5634 do10557 hu9433 mo12270 ra5544 
co5165 do6433 hu11968 mo4652 ra6254 
co7176 do2920 hu4475 mo9179 ra302 
co3062 do9857 hu9423 mo11367 ra5251 
co9367 do1192 hu14069 mo7387 ra10239 
co6755 do4014 hu913 mo11289 ra233 
co7069 do4015 hu12214 mo12220 ra4326 
co8667 do8914 hu11255 mo10568 ra7606 
co12628 do9903 hu11670 mo13186 ra11255 
co2895 do5242 hu3921 mo11769 ra1485 
co9561 do12014 hu2737 mo14145 ra3071 
co5770 do9236 hu9526 mo6443 ra2908 
co8677 do7427 hu2059 mo132 ra8711 
co3336 do6608 hu4685 mo2146 ra4201 
co6596 do12550 hu6519 mo8575 ra9056 
co2645 do5150 hu542 mo2959 ra3320 
co3632 do1081 hu659 mo15507 ra13422 
co5162 do5823 hu5285 mo8384 ra2331 
co5706 do46 hu6799 mo7705 ra2129 
co972 do1509 hu763 mo6512 ra1490 
co3493 do6247 hu12312 mo4804 ra7110 
co9479 do5880 hu9510 mo4635 ra6700 
co6867 do1328 hu10384 mo17399 ra9639 
co11492 do10571 hu10850 mo8768 ra8518 
co8013 do1417 hu9844 mo6587 ra2842 
co8791 do5594 hu799 mo8129 ra4576 
co3953 do1862 hu1394 mo333 ra8153 
co6073 do9902 hu5720 mo5993 ra8241 
co7547 do8455 hu8604 mo10933 ra8830 
co5778 do7978 hu7314 mo8826 ra7182 
co7110 do8652 hu10785 mo10607 ra8395 
co1383 do2513 hu7737 mo2386 ra15680 
co8091 do2946 hu2207 mo2330 ra6185 
co6247 do6558 hu3216 mo2524 ra7302 
co4898 do275 hu2350 mo3136 ra272 
co7758 do4716 hu2375 mo1032 ra11232 
co11771 do12611 hu11443 mo11930 ra9278 
co2166 do2251 hu675 mo5497 ra2168 
co4586 do1838 hu5646 mo3518 ra3640 
co6856 do6367 hu8963 mo1144 ra2349 
co5912 do11241 hu13070 mo3816 ra613 
co2740 do5891 hu2923 mo275 ra3506 
co8292 do4958 hu5215 mo8653 ra7319 
co2414 do2999 hu1581 mo5167 ra5312 
co394 do8856 hu7169 mo9789 ra9638 
co3682 do4022 hu1509 mo3202 ra1968 
co8349 do4414 hu4800 mo7369 ra3854 
co3333 do6143 hu9343 mo5057 ra3972 
co2869 do4449 hu89 mo60 ra1068 
co9457 do3021 hu7313 mo4360 ra2761 
co5357 do6374 hu448 mo6446 ra1067 
co2940 do2367 hu5735 mo6520 ra1283 
co6149 do7408 hu182 mo17270 ra6115 
co619 do1124 hu70 mo2868 ra359 
co9001 do2956 hu11587 mo1886 ra8962 
co7827 do3336 hu6046 mo1352 ra5098 
co3197 do4164 hu10269 mo5011 ra2192 
co1671 do3597 hu2361 mo4974 ra3403 
co268 do6756 hu4951 mo4727 ra1979 
co2417 do9157 hu6278 mo7686 ra5257 
co4494 do9950 hu5725 mo3393 ra9034 
co5757 do2616 hu923 mo3047 ra5360 
co5370 do2737 hu2901 mo6695 ra3828 
co1592 do350 hu2812 mo1208 ra2212 
co1450 do3083 hu1659 mo7211 ra2368 
co8594 do9291 hu9212 mo7329 ra10399 
co9925 do9243 hu12919 mo10906 ra1288 
co3740 do7281 hu12477 mo13399 ra12375 
co2946 do3733 hu2210 mo1400 ra3242 
co6459 do2372 hu6626 mo1216 ra3875 
co6530 do3648 hu7099 mo5645 ra5105 
co9124 do792 hu5674 mo6628 ra824 
co1979 do6709 hu1065 mo7655 ra8559 
co842 do3391 hu7830 mo9485 ra7598 
co12519 do11169 hu7913 mo17234 ra4181 
co13022 do9011 hu9449 mo8655 ra2261 
co3416 do3476 hu650 mo5146 ra1021 
co829 do6043 hu13158 mo1060 ra6155 
co2053 do4012 hu8875 mo5467 ra2273 
co9317 do6986 hu10359 mo5419 ra4851 
co6962 do178 hu7778 mo6318 ra4522 
co6546 do12577 hu5414 mo2590 ra9423 
co11148 do5135 hu2226 mo59 ra12926 
co6738 do3718 hu2403 mo7311 ra2738 
co4030 do6342 hu2294 mo610 ra2256 
co7265 do7071 hu7432 mo5606 ra2737 
co6047 do11642 hu107 mo9678 ra2987 
co3348 do11804 hu1855 mo6737 ra6335 
co11127 do7868 hu5406 mo10969 ra12130 
co2135 do4461 hu6408 mo273 ra4182 
co1673 do4037 hu1964 mo4606 ra5224 
co12170 do9621 hu17129 mo14008 ra7208 
co3607 do4005 hu7173 mo5079 ra1237 
co9982 do2970 hu8116 mo7725 ra9354 
co2564 do1049 hu3094 mo2215 ra261 
co2606 do1289 hu4648 mo9175 ra3914 
co1769 do6835 hu11540 mo7244 ra6972 
co14778 do13153 hu14591 mo13929 ra10849 
co102 do3396 hu2506 mo2031 ra928 
co5440 do3452 hu7633 mo8084 ra6869 
co7705 do9641 hu7512 mo10128 ra10898 
co9986 do11285 hu4300 mo3694 ra11708 
co1913 do10373 hu17055 mo13896 ra4709 
co13959 do6920 hu13642 mo10823 ra13412 
co920 do4477 hu10118 mo5618 ra8932 
co14469 do13138 hu17496 mo14779 ra14398 
co2122 do12148 hu12593 mo10171 ra5566 
co12303 do7863 hu12787 mo13558 ra2929 
co12351 do11983 hu15259 mo2332 ra10172 
co2464 do7434 hu10677 mo11944 ra13077 
co1535 do4960 hu2477 mo1576 ra3073 
co2687 do1742 hu6170 mo5677 ra3167 
co8291 do10420 hu11171 mo10110 ra5701 
co6011 do9075 hu12916 mo2684 ra6136 
co1885 do1044 hu2473 mo2091 ra5437 
co6537 do1253 hu8378 mo4318 ra6482 
co7970 do1028 hu7346 mo3991 ra8878 
co1461 do4947 hu1582 mo4021 ra992 
co4235 do9553 hu9658 mo12837 ra8701 
co9516 do6790 hu3768 mo12586 ra9611 
co11289 do10955 hu10120 mo10907 ra112 
co1932 do3098 hu2112 mo2129 ra7164 
co4076 do5190 hu5820 mo4504 ra271 
co4128 do4893 hu6430 mo3428 ra2778 
