INTERACTOR_1 INTERACTOR_2
ca1832	ca1595
ca1833	ca1834
ca1112	ca1089
ca1012	ca550
ca1835	ca1836
ca381	ca1837
ca1838	ca1839
ca1840	ca1841
ca1842	ca1843
ca1844	ca356
ca706	ca884
ca1845	ca1846
ca1847	ca1848
ca728	ca1252
ca1849	ca928
ca519	ca1850
ca198	ca1851
ca1852	ca1853
ca1854	ca1701
ca1698	ca880
ca1855	ca1856
ca75	ca1857
ca195	ca1858
ca1859	ca1860
ca1860	ca1861
ca1862	ca1863
ca1864	ca1865
ca1297	ca631
ca1554	ca1866
ca1050	ca1867
ca1868	ca1350
ca1735	ca1869
ca89	ca1870
ca1871	ca1872
ca1873	ca1809
ca1874	ca1875
ca1178	ca1026
ca339	ca778
ca646	ca958
ca1876	ca1344
ca1877	ca1340
ca971	ca1878
ca798	ca1879
ca1880	ca307
ca1881	ca1882
ca1883	ca1884
ca1425	ca1885
ca1886	ca1887
ca89	ca1888
ca1889	ca583
ca1890	ca822
ca1891	ca1892
ca1418	ca1893
ca1805	ca1894
ca1895	ca676
ca1017	ca1698
ca1896	ca596
ca887	ca1897
ca1898	ca1899
ca1900	ca1901
ca1902	ca1903
ca387	ca997
ca1904	ca1135
ca1905	ca1906
ca1543	ca1907
ca1118	ca1908
ca1909	ca1910
ca1911	ca1912
ca1913	ca1914
ca1787	ca1915
ca1916	ca1917
ca154	ca1744
ca1918	ca1919
ca1009	ca1751
ca591	ca1343
ca1920	ca934
ca1921	ca1922
ca1923	ca1924
ca111	ca1925
ca1926	ca1852
ca1927	ca384
ca1165	ca1928
ca1929	ca1930
ca1931	ca1047
ca80	ca1932
ca1933	ca1934
ca1935	ca1936
ca9	ca737
ca1937	ca1107
ca314	ca1938
ca1092	ca1939
ca1835	ca1940
ca1941	ca1942
ca1943	ca1601
ca1183	ca1944
ca1945	ca1781
ca928	ca1946
ca1947	ca1948
ca1949	ca1950
ca1951	ca1952
ca1384	ca1953
ca1954	ca550
ca1955	ca1956
ca1957	ca378
ca834	ca1958
ca12	ca1959
ca27	ca1960
ca1961	ca935
ca1962	ca1615
ca442	ca1196
ca1963	ca1964
ca1965	ca1966
ca1967	ca982
ca1968	ca1969
ca1970	ca299
ca66	ca1142
ca1385	ca1971
ca559	ca1972
ca1284	ca1973
ca1974	ca1753
ca457	ca1975
ca385	ca1976
ca1977	ca1903
ca1978	ca1979
ca941	ca1980
ca1981	ca466
ca1982	ca1983
ca1984	ca958
ca1985	ca1986
ca1987	ca596
ca1988	ca1989
ca1990	ca1991
ca9	ca1553
ca1992	ca1993
ca1994	ca1995
ca1996	ca637
ca1997	ca1998
ca1383	ca84
ca1999	ca2000
ca2001	ca392
ca2002	ca519
ca2003	ca2004
ca2005	ca51
ca2006	ca1467
ca2007	ca2008
ca2009	ca2010
ca1486	ca1165
ca2011	ca405
ca2012	ca1061
ca880	ca2013
ca2014	ca310
ca1930	ca2015
ca830	ca1736
ca1754	ca2016
ca387	ca2017
ca2018	ca2019
ca5	ca310
ca2020	ca2021
ca318	ca2022
ca9	ca2023
ca1714	ca797
ca89	ca2024
ca728	ca1087
ca2025	ca2026
ca2027	ca2028
ca1165	ca2029
ca442	ca2030
ca195	ca2031
ca2032	ca836
ca245	ca2033
ca2034	ca1481
ca2035	ca2036
ca212	ca2037
ca2038	ca1506
ca2039	ca1508
ca2040	ca2041
ca2042	ca235
ca934	ca2043
ca2044	ca195
ca2045	ca2046
ca1561	ca2047
ca2048	ca2049
ca566	ca387
ca2050	ca1622
ca2051	ca1675
ca2052	ca2053
