mo2650	rt3362	hu1664
hu15721	mo15893
hu10169	rt2179	mo1879
rt15666	mo7515	hu8344
rt14563	hu16879	mo15232
rt2011	hu8099	mo16128
mo2286	rt15470	hu2588
mo1208	rt2212	hu2812
mo3498	rt11202	hu7038
mo525	rt3617	hu1817
hu13721	rt7288	mo13664
rt3778	hu10798	mo3075
hu7028	mo7494
hu16575	mo12231
hu13432	mo4256
hu5005	rt8509	mo2512
rt5801	hu3869	mo2412
mo15010	rt1090	hu14005
mo4142	rt1687	hu3853
rt13506	mo14073
hu9913	rt8178	mo5075
mo8742	rt9732	hu9812
rt8271	hu6041	mo7993
rt15305	hu14766	mo14967
rt12615	hu16051	mo9148
rt13426	mo12964
hu861	rt1038	mo11304
rt9130	hu1989	mo8552
hu12403	rt12004	mo16579
hu2046	rt5400	mo4556
hu9868	rt15416	mo16992
hu29	mo1411
mo9541	rt5337	hu9334
mo2677	rt1887	hu3129
mo4933	rt3957	hu994
hu10602	rt1069	mo11390
hu7732	rt668	mo2444
hu3225	rt10170	mo950
hu2591	rt2400	mo3454
hu14213	rt7679	mo11723
hu17135	rt13961	mo15071
hu16090	mo16174
rt1941	hu8845	mo7860
rt15498	mo15656
hu4590	rt7086	mo3699
hu9646	rt3880
rt14784	hu15734	mo15865
mo293	rt1995	hu4446
hu9529	rt6436	mo2517
mo8743	rt2138	hu11401
hu16568	rt12401	mo8239
mo27	rt5016	hu2529
rt10649	hu12135	mo6299
mo11747	rt8202	hu13279
rt9136	hu10888	mo9706
mo6672	rt9165	hu8121
mo5167	rt5312	hu1581
rt5910	hu4730	mo8936
rt11720	hu15856	mo4765
rt9281	hu4467	mo8383
hu15847	rt12897	mo16785
mo9847	rt9002	hu11254
hu17298	mo15870
rt2122	hu3667	mo17042
mo4708	rt6930	hu9375
rt14258	hu15159	mo13349
mo16267	rt14763	hu9869
rt4439	hu7133	mo4147
mo7574	rt8641	hu4869
hu9499	rt10655	mo7435
hu6893	rt10952	mo7603
hu6539	rt9102	mo1609
rt12172	hu4991	mo3383
hu14497	rt12948	mo7012
